P,m,T,X1,X2,X3
64,10624,0.005386260,12,20916,10458
64,10752,0.005449068,12,21168,10584
64,10880,0.005511866,12,21420,10710
64,11008,0.005574670,12,21672,10836
64,11136,0.005637480,12,21924,10962
64,11264,0.005700281,12,22176,11088
64,11392,0.005642773,12,22428,11214
64,11520,0.005704573,12,22680,11340
64,11648,0.005692407,12,22932,11466
64,11776,0.005753083,12,23184,11592
64,11904,0.005813764,12,23436,11718
64,12032,0.005874449,12,23688,11844
64,12160,0.005935124,12,23940,11970
64,12288,0.005995804,12,24192,12096
64,12416,0.006056484,12,24444,12222
64,12544,0.006117165,12,24696,12348
64,12672,0.006177844,12,24948,12474
64,12800,0.006238522,12,25200,12600
64,12928,0.006299203,12,25452,12726
64,13056,0.006359885,12,25704,12852
64,13184,0.006420554,12,25956,12978
64,13312,0.006481247,12,26208,13104
64,13440,0.006541921,12,26460,13230
64,13568,0.006602597,12,26712,13356
64,13696,0.006663277,12,26964,13482
64,13824,0.006723959,12,27216,13608
64,13952,0.006745804,12,27468,13734
64,14080,0.006806115,12,27720,13860
64,14208,0.006866420,12,27972,13986
64,14336,0.006926736,12,28224,14112
64,14464,0.006987049,12,28476,14238
64,14592,0.007047354,12,28728,14364
64,14720,0.007107666,12,28980,14490
64,14848,0.007167978,12,29232,14616
64,14976,0.007228288,12,29484,14742
64,15104,0.007288605,12,29736,14868
64,15232,0.007348913,12,29988,14994
64,15360,0.007409219,12,30240,15120
64,15488,0.007339439,12,30492,15246
64,15616,0.007398621,12,30744,15372
64,15744,0.007457793,12,30996,15498
64,15872,0.007516975,12,31248,15624
64,16000,0.007576147,12,31500,15750
64,16128,0.007635330,12,31752,15876
64,16256,0.007694505,12,32004,16002
64,16384,0.007011956,12,32256,16128
64,16512,0.007064905,12,32508,16254
64,16640,0.007117880,12,32760,16380
64,16768,0.007170842,12,33012,16506
64,16896,0.007223809,12,33264,16632
64,17024,0.007276775,12,33516,16758
64,17152,0.007329745,12,33768,16884
64,17280,0.007382697,12,34020,17010
64,17408,0.007435659,12,34272,17136
64,17536,0.007488612,12,34524,17262
64,17664,0.007541585,12,34776,17388
64,17792,0.007594546,12,35028,17514
64,17920,0.007647517,12,35280,17640
64,18048,0.007700476,12,35532,17766
64,18176,0.007753407,12,35784,17892
64,18304,0.007806405,12,36036,18018
64,18432,0.007859364,12,36288,18144
64,18560,0.007912320,12,36540,18270
64,18688,0.007965286,12,36792,18396
64,18816,0.008262834,12,37044,18522
64,18944,0.008317456,12,37296,18648
64,19072,0.008372049,12,37548,18774
64,19200,0.008426664,12,37800,18900
64,19328,0.008481270,12,38052,19026
64,19456,0.008535880,12,38304,19152
64,19584,0.008590492,12,38556,19278
64,19712,0.008645087,12,38808,19404
64,19840,0.008699693,12,39060,19530
64,19968,0.008754299,12,39312,19656
64,20096,0.008808910,12,39564,19782
64,20224,0.008863509,12,39816,19908
64,20352,0.008918123,12,40068,20034
64,20480,0.008972734,12,40320,20160
64,20608,0.009027343,12,40572,20286
64,20736,0.009081945,12,40824,20412
64,20864,0.009136544,12,41076,20538
