P,m,T,X1,X2,X3
64,20352,0.013747918,126,40068,20034
64,20480,0.013828441,126,40320,20160
64,20608,0.013822975,126,40572,20286
64,20736,0.013819945,126,40824,20412
64,20864,0.013899392,126,41076,20538
128,8192,0.011154457,254,16256,8128
128,8320,0.011298748,254,16510,8255
128,8448,0.011443885,254,16764,8382
128,8576,0.011595903,254,17018,8509
128,8704,0.011788080,254,17272,8636
128,8832,0.011933049,254,17526,8763
128,8960,0.012078316,254,17780,8890
128,9088,0.012223571,254,18034,9017
128,9216,0.012368556,254,18288,9144
128,9344,0.012462229,254,18542,9271
128,9472,0.012611113,254,18796,9398
128,9600,0.012755567,254,19050,9525
128,9728,0.012899581,254,19304,9652
128,9856,0.013043600,254,19558,9779
128,9984,0.013188065,254,19812,9906
128,10112,0.013332485,254,20066,10033
128,10240,0.013528050,254,20320,10160
128,10368,0.013673436,254,20574,10287
128,10496,0.013816981,254,20828,10414
128,10624,0.013963690,254,21082,10541
128,10752,0.014054630,254,21336,10668
128,10880,0.014199062,254,21590,10795
128,11008,0.014343688,254,21844,10922
128,11136,0.014488089,254,22098,11049
128,11264,0.014632608,254,22352,11176
128,11392,0.014777273,254,22606,11303
128,11520,0.014768736,254,22860,11430
128,11648,0.014911951,254,23114,11557
128,11776,0.015055335,254,23368,11684
128,11904,0.015197931,254,23622,11811
128,12032,0.015402346,254,23876,11938
128,12160,0.015546773,254,24130,12065
128,12288,0.015688067,254,24384,12192
128,12416,0.015772202,254,24638,12319
128,12544,0.015914949,254,24892,12446
128,12672,0.016079346,254,25146,12573
128,12800,0.016225646,254,25400,12700
128,12928,0.016368381,254,25654,12827
128,13056,0.016511862,254,25908,12954
128,13184,0.016654801,254,26162,13081
128,13312,0.016797837,254,26416,13208
128,13440,0.016940817,254,26670,13335
128,13568,0.017083814,254,26924,13462
128,13696,0.017226438,254,27178,13589
128,13824,0.017369855,254,27432,13716
128,13952,0.017512254,254,27686,13843
128,14080,0.017655846,254,27940,13970
128,14208,0.017798873,254,28194,14097
128,14336,0.017941346,254,28448,14224
128,14464,0.018084509,254,28702,14351
128,14592,0.018228084,254,28956,14478
128,14720,0.018371157,254,29210,14605
128,14848,0.018513632,254,29464,14732
128,14976,0.018657223,254,29718,14859
128,15104,0.018800335,254,29972,14986
128,15232,0.018942814,254,30226,15113
128,15360,0.019086398,254,30480,15240
128,15488,0.019229354,254,30734,15367
128,15616,0.019372402,254,30988,15494
128,15744,0.019515479,254,31242,15621
128,15872,0.019658473,254,31496,15748
128,16000,0.019800750,254,31750,15875
128,16128,0.019944510,254,32004,16002
128,16256,0.020087715,254,32258,16129
128,16384,0.020230596,254,32512,16256
128,16512,0.020373490,254,32766,16383
128,16640,0.020516564,254,33020,16510
128,16768,0.020658920,254,33274,16637
128,16896,0.020802142,254,33528,16764
128,17024,0.020945865,254,33782,16891
128,17152,0.021087950,254,34036,17018
128,17280,0.021231057,254,34290,17145
128,17408,0.021456487,254,34544,17272
128,17536,0.021517819,254,34798,17399
128,17664,0.021661522,254,35052,17526
128,17792,0.021803611,254,35306,17653
128,17920,0.021947273,254,35560,17780
128,18048,0.022089323,254,35814,17907
128,18176,0.022232002,254,36068,18034
128,18304,0.022375095,254,36322,18161
128,18432,0.022518336,254,36576,18288
128,18560,0.022661749,254,36830,18415
128,18688,0.022805011,254,37084,18542
128,18816,0.022949389,254,37338,18669
128,18944,0.023092002,254,37592,18796
128,19072,0.023235432,254,37846,18923
128,19200,0.023378956,254,38100,19050
128,19328,0.023522361,254,38354,19177
128,19456,0.023665627,254,38608,19304
128,19584,0.023810084,254,38862,19431
128,19712,0.023952601,254,39116,19558
128,19840,0.024096596,254,39370,19685
128,19968,0.024239594,254,39624,19812
128,20096,0.024383433,254,39878,19939
128,20224,0.024525934,254,40132,20066
128,20352,0.024671021,254,40386,20193
128,20480,0.024815221,254,40640,20320
128,20608,0.024957665,254,40894,20447
128,20736,0.025103030,254,41148,20574
128,20864,0.025254522,254,41402,20701
256,8192,0.017007806,510,16320,8160
256,8448,0.017386034,510,16830,8415
256,8704,0.017771398,510,17340,8670
256,8960,0.018153206,510,17850,8925
256,9216,0.018535005,510,18360,9180
256,9472,0.018916807,510,18870,9435
256,9728,0.019299496,510,19380,9690
256,9984,0.019680396,510,19890,9945
256,10240,0.020056322,510,20400,10200
256,10496,0.020443987,510,20910,10455
256,10752,0.020826593,510,21420,10710
256,11008,0.021207575,510,21930,10965
256,11264,0.021589372,510,22440,11220
256,11520,0.021971556,510,22950,11475
256,11776,0.022352957,510,23460,11730
256,12032,0.022734754,510,23970,11985
256,12288,0.023117294,510,24480,12240
256,12544,0.023498861,510,24990,12495
256,12800,0.023880799,510,25500,12750
256,13056,0.024262560,510,26010,13005
